Serotype,Region,Subregion,Country,Admin.level.1,Latitude,Longitude,Animal.type,Species,Report.date
H5N1,Asia,South-Eastern Asia,Cambodia,Svay Rieng,11.367203,105.664881,Domestic,Unspecified Bird,1/08/2024
H5N1,Asia,South-Eastern Asia,Cambodia,Svay Rieng,11.367203,105.664881,Domestic,Unspecified Bird,1/08/2024
H5N1,Asia,Southern Asia,Bhutan,Samtse,26.816805,89.163818,Domestic,Unspecified Bird,19/07/2024
H5N1,Asia,South-Eastern Asia,Cambodia,Takeo,10.655617,104.83847,Domestic,Unspecified Bird,9/07/2024
H5N1,Asia,South-Eastern Asia,Viet Nam,Tien Giang,10.4356,106.0354,Domestic,Duck,6/07/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.64873,120.52071,Domestic,Chicken,19/07/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.650907,120.518556,Domestic,Chicken,19/07/2024
H5Nx,Asia,Eastern Asia,China,Xizang Zizhiqu,33.0055,88.6622,Wild,Brown Headed Gull,31/05/2024
H5N1,Asia,Eastern Asia,Republic of Korea,Kyongsangbuk-do,35.612404,128.430686,Domestic,Unspecified Bird,24/05/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.57971,120.30606,Domestic,Goose,19/06/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.566667,120.3,Domestic,Goose,24/05/2024
H5N1,Asia,Eastern Asia,China,Qinghai Sheng,37.2332,100.2005,Wild,Unspecified Bird,17/05/2024
H5N1,Asia,Eastern Asia,China,Qinghai Sheng,36.5152,100.7102,Wild,Unspecified Bird,17/05/2024
H5N5,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),11/06/2024
H5N5,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/05/2024
H5N1,Asia,Eastern Asia,Japan,Tiba,35.7269,140.3427,Domestic,Unspecified Bird,9/05/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),11/06/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),3/05/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),11/06/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),27/04/2024
H5N1,Asia,Southern Asia,India,Kerala,9.34491,76.46914,Domestic,Unspecified Bird,24/05/2024
H5N1,Asia,Southern Asia,India,Kerala,9.44698,76.50346,Domestic,Unspecified Bird,24/05/2024
H5N1,Asia,Southern Asia,India,Kerala,9.384177,76.421358,Domestic,Unspecified Bird,24/05/2024
H5N1,Asia,Southern Asia,India,Kerala,9.406405,76.356791,Domestic,Unspecified Bird,24/05/2024
H5N5,Asia,Eastern Asia,Japan,Hokkaidoo,44.361254,141.698418,Wild,Large-Billed Crow (Corvus Macrorhynchos),11/06/2024
H5N5,Asia,Eastern Asia,Japan,Hokkaidoo,44.35,141.7,Wild,Large-Billed Crow (Corvus Macrorhynchos),24/04/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.21524,120.19459,Domestic,Chicken,16/05/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),11/06/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),20/04/2024
H5N1,Asia,Southern Asia,India,Kerala,9.324581,76.452046,Domestic,Unspecified Bird,24/05/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,42.585164,142.128969,Wild,Mountain Hawk-Eagle ,11/06/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),11/06/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),17/04/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,42.583333,142.133333,Wild,Mountain Hawk-Eagle ,12/04/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),11/06/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),17/04/2024
H5N1,Asia,Southern Asia,India,Kerala,9.411045,76.447921,Domestic,Unspecified Bird,24/05/2024
H5N1,Asia,Eastern Asia,Japan,Totigi,36.975718,139.813275,Wild,Ural Owl,11/06/2024
H5N1,Asia,Eastern Asia,Japan,Totigi,36.961722,140.046056,Wild,Ural Owl,12/04/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),11/06/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),13/04/2024
H5N1,Asia,Southern Asia,India,Jharkhand,23.387,85.386,Domestic,Unspecified Bird,24/05/2024
H5N1,Asia,Eastern Asia,Japan,Hirosima,34.675138,132.5377,Wild,Carrion Crow (Corvus Corone),11/06/2024
H5N1,Asia,Eastern Asia,Japan,Hirosima,34.6753,132.538,Wild,Crow,11/04/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.36617,120.32717,Domestic,Chicken,16/05/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.95317,120.33279,Domestic,Chicken,16/05/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),11/06/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),6/04/2024
H5N5,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),19/04/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,25.03067,121.48937,Domestic,Chicken,16/05/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.53457,120.47643,Domestic,Chicken,16/05/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.705045,120.297709,Domestic,Chicken,16/05/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,44.0205,144.2735,Wild,White Tailed Eagle (Haliaeetus Albicilla),11/06/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,44.016667,144.266667,Wild,White Tailed Eagle (Haliaeetus Albicilla),3/04/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.75142,120.49149,Domestic,Chicken,16/05/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.103889,141.536371,Wild,Large-Billed Crow (Corvus Macrorhynchos),11/06/2024
